AKASH GLOBAL FOOD PVT LTD,6,"3, Jawahar Marg, Siyaganj, Indore, Sanwer Road",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
"ALCON LABORATORIES INDIA ,",6,"Sch. No. 94, Near Bombay Hospital, Ring Road",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
AMAR RAJA BATTERIES LTD,6,"Prime House, 2nd floor, B-Block, GF-33, Meghdoot park road, Vijaya Nagar, Mahalaxmi Nagar Colony,",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
ASIAN PAINTS ( INDIA ) LTD.,6,Dhan Trident (6th Floor) Opp. Satya Sai School. Bombay Hospital Road.,indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
AU SMALL FINANCE BANK LIMITED,6,Dhan Trident (6th Floor) Opp. Satya Sai School. Bombay Hospital Road.,indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
BANK OF BARODA,6,"Baroda Complex, Plot no 12, R.C, 1st Floor, Scheme 134, Nipania,",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
BAYER CROP SCIENCE INDIA L,6,"Sch. No. 78, Before SBI Training Center",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
BHANDARI HOSPITAL,6,"21-23 G F, Scheme No. 54 Opp. Meghdoot Garden",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
CANARA BANK,6,"Omega Tower (3 Floor), Sayaji Club Road, Near Hotel Sayaji",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
CENTRAL INDIA INSTITUTE OF,6,"ICAI Bhawan, 19 B, Sch. 78, Part 2, Near Sica School",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
CENTURY PLYWOOD,6,"Police Station, 96/11 SR Compound, Ist Lane, AB Rd, opposite Lasudiya",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
CHAMBAL FERTILIZERS & CHEMICALS,6,"Vikram Urban, Floor 2, Near Hotel Sayaji Main Road",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
CHOKSI LABORATORIES LTD,6,"9/1, Tulsiyana Industrial Park, Kumedi",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
CHOLAMANDALAM INVESTME NT AND,6,"M-8, M-9 & M10, Mezanine floor Plot No. 7, Scheme No.54 PU-4 Commercial,A.B. Road, near Vijay Nagar Square",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
CHOLAMANDALAM MS GENER,6,"M-8, M-9 & M10, Mezanine floor Plot No. 7, Scheme No.54 PU-4 Commercial,A.B. Road, near Vijay Nagar Square",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
"DARLING PUMPS PVT LTD,",6,"31, Sanwer Rd Industrial Area, Sector C, Sanwer Road",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
DEE TEE INDUSRTIES LTD.,6,"31, Sanwer Rd Industrial Area, Sector C, Sanwer Road",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
DHANUKA AGRITECH LTD,6,"Vikram Urban, 202-203, Near Hotel Sayaji Main Road",indore-ANANYA SHARMA,326,Indore,110,452001,ANANYA SHARMA,indore@gmail.com,,1111111111,,1
