Emerson export Engineering,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9890306197,1
Basell Polyolefins India Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9011038344,1
BILZ,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9822055636,1
JMK NDT Services.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9823671288,1
Mega Fine,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9970053929,1
Tecnocrats Academy of Automation.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9420904391,1
Beico Industry.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9867552620,1
Eshwari Holidays,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9561821439,1
 Alpha Glass Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,7798889111,1
EP Entremonde Ltd ,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9922947704,1
Si Interpack.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9689936141,1
HDFC ERGO.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,7798982226,1
Chola Insurance,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9527321114,1
Shree Surya Surgi pharma Pvt Ltd,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9860042064,1
Shreeson Technology Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9881469779,1
Mack Pharmatech.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,932585885,1
Holden medical Laboratories India.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9673337139,1
Bumper India Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9860346706,1
TDK Electronic,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2532205293,1
Electronic Switches India Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2536697704,1
Ashoka Buildcon,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,7720048185,1
HDFC ERGO Nashik.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,7798982226,1
Narayani Hospital Nashik.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9822441177,1
Sahyadri Hospital Nashik,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,8390212994,1
Manavta Cancer centre.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,0253 666 1111,1
Nexicon Pharma.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,, 096575 88300,1
Starlight Lightning,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2532354423,1
Anand Powers Limited ,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2532202829,1
 Nash Robotics and automation.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9822035365,1
Catapharma Chemicals,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9422258944,1
Weldtex Industries.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9881704315,1
V.M Auto Parts Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9822227709,1
Empire foods (Ram Bandhu),6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2532472006,1
Wockhardt Hospita,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,86699 98260,1
Panchal Engineering ,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9850310952,1
Metaforg Eng Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2532530505,1
Panchal Eng India Pvt Ltd,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9850310952,1
Electro crimp Contact Pvt Ltd.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9422727738,1
Artson Industry (Tata Product).,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,8177887815,1
Mahindra and Mahindra.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9822201614,1
A.B Mauri.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9822325532,1
National Insurance Company.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9422249312,1
Royal Sundaram insurance. ,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9890632531,1
Datar Lab Nashik,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2536690804,1
Anand  Power Limited.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2202829,1
Precision forging & Stamping.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2532307081,1
Supreme Equipments,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,7743866444,1
 Mahindra and Mahindra.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,2536608062,1
Anand  Agro .,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,7774009349,1
HDFC Bank,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9372625053,1
Mahindra Finance ,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9881096379,1
Datar cancer Genetics,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,02536604828 / 9767894089,1
Technoforce,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9371537538 / 2382451,1
Girikhand Holidays.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9422252538,1
Chocolate Holidays ,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9822873336,1
Eshwari Holidays.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9860721439,1
ESDS Software.,6,Address,38,Maharashtra,Nashik,India,422001,Nashik-Executive,nashik@gmail.com,,,9325557429,1
