Sea World Shipping And Logistics Pvt Ltd,6,"8Th Floor, Ncl Building E, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400051,316,jamnagar@gmail.com,,,1111111111,1
United Shippers Limited,6,"Prospect Chambers, 3rd Floor, D.N. Road, Fort, Mumbai ",24,Maharashtra,Mumbai,110,400001,316,jamnagar@gmail.com,,,1111111111,1
Merchant Ship Management,6,"2/44, akhalwaya bldg,1st fr,office no.2 near market, Agiyari Ln, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra",24,Maharashtra,Mumbai,110,400001,316,jamnagar@gmail.com,,,1111111111,1
HMM Shipping India Private Limited,6,"Leela Business Park, 302, 3rd Flr, Near Airport road Metro station Marol Pipe line, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400059,316,jamnagar@gmail.com,,,1111111111,1
A. P. S Maritime Services Pvt. Ltd,6,"Door No. C - 75, Kamdhenu Shopping Center, Lokhandwala Complex, Andheri West, Azad Nagar, Mumbai ",24,Maharashtra,Mumbai,110,400053,316,jamnagar@gmail.com,,,1111111111,1
East India Shipping Agency,6,"Hutatma Chowk, Room No. 8, Botawala Building, Horniman Circle, Kala Ghoda, Fort, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400001,316,jamnagar@gmail.com,,,1111111111,1
Avikya Shipping Pvt.Ltd.,6,"Office no. 506, 5th floor, maganlal chamber, 37a, carnac siding road baburao, B Bobde Marg, Masjid Bandar, Mumbai, Maharashtra",24,Maharashtra,Mumbai,110,400009,316,jamnagar@gmail.com,,,1111111111,1
TORM Shipping India Pte. Ltd.,6,"2nd Floor, Leela Business Park, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra",24,Maharashtra,Mumbai,110,400059,316,jamnagar@gmail.com,,,1111111111,1
SARANG SHIP MANAGEMENT PRIVATE LIMITED,6,"OFFICE No. 45/46, 3RD FLOOR, 277 HANSHRAJ DAMODAR BUILLDING LAND MARK:, Shahid Bhagat Singh Rd, beside CHAI HOUSE, Ballard Estate, Fort, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400001,316,jamnagar@gmail.com,,,1111111111,1
Marlow Navigation India (Pvt) Ltd.,6,"Sunrise Tower, 7th floor, Plot No. C-10, Central Road, MIDC, Andheri (E), Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400093,316,jamnagar@gmail.com,,,1111111111,1
Native Marine Services Pvt. Ltd.,6,"85, Vijaykarwadi, Opp Nadiadwala Colony no 2, Swami Vivekananda Rd, Malad West, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400064,316,jamnagar@gmail.com,,,1111111111,1
Ams ship management Pvt ltd,6,"Kuber Complex, 203, Veera Desai Rd, Andheri West, Maharashtra ",24,Maharashtra,Mumbai,110,400053,316,jamnagar@gmail.com,,,1111111111,1
Danautic Ship Management Pvt Ltd,6,"407, New Link Rd, Adarsh Nagar, Andheri West, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400053,316,jamnagar@gmail.com,,,1111111111,1
Indocean Maritime Services Pvt. Ltd.,6,"50 Udyog Bhavan, Sonawala Rd, Goregaon, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400063,316,jamnagar@gmail.com,,,1111111111,1
MSI Shipping Services India Private Limited,6,"Remi Bizcourt, ""C"" Wing, C-704, 7th Floor, Plot No. 09, Shah Industrial Estate, Off Veera Desai Rd, Andheri West, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400053,316,jamnagar@gmail.com,,,1111111111,1
Navy Line Ship Management Pvt Ltd,6,"Office no 211/212 , Prestige Chamber, Kalyan Street, Masjid Bunder East, near Indian seamans Hostel, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400009,316,jamnagar@gmail.com,,,1111111111,1
Rafsha Marine Services Pvt Ltd,6,"Shahid Bhagat Singh Rd, Ballard Estate, Fort, Mumbai, Maharashtra",24,Maharashtra,Mumbai,110,400001,316,jamnagar@gmail.com,,,1111111111,1
Join Hands Marine Services Private Limited,6,"Office no-8, God Gift Towers, Yari Rd, Yagna Nagar, Versova, Andheri(w, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400061,316,jamnagar@gmail.com,,,1111111111,1
Marvin Ship Management Pvt. Ltd,6,"Crystal Paradise, Office No 204, Off Veera Desai Rd, Near Janki Centre, Industrial Area, Andheri West, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400053,316,jamnagar@gmail.com,,,1111111111,1
Navagatha Mercantile Fleet Management Pvt. Ltd. RPSL-MUM-503,6,"No.5, Office No.144, Plot No.16 Siddharth Nagar Road, Opp, Prabodhan Kridabhavan, Goregaon West, Mumbai, Maharashtra ",24,Maharashtra,Mumbai,110,400104,316,jamnagar@gmail.com,,,1111111111,1
