MG Motors,6,"GF, Experion Milestone Center, Sector 15 Part 2, Gurugram, Haryana ",63,320,Gurugram,110,122001,Himanshu,delhi@gmail.com,,,1111111111,1
Balmer Lawrie,6,"1st Floor, NBCC Center, Plot No. 2 Community Center, Okhla Phase-I, New Delhi",64,346,New Delhi,110,110 02,Vinod ,delhi@gmail.com,,,1111111111,1
Surv Worldwide,6,"Metro Station, 3E/14, near Jhandewalan, Block E 3, Jhandewalan Extension, Jhandewalan, New Delhi, Delhi ",64,346,New Delhi,110,110055,Vinod ,delhi@gmail.com,,,1111111111,1
Crisil,6,"Plot No 46 CRISIL House Opp PF Office, Sector 44, Gurugram, Haryana ",65,320,Gurugram,110,122003,Vinod ,delhi@gmail.com,,,1111111111,1
Phillips,6," 9th Floor, DLF 9-B, DLF Cyber City, Sector 25, DLF Phase - 3, Gurgaon",65,320,Gurugram,110,122002,Vinod ,delhi@gmail.com,,,1111111111,1
ISGEC,6,"A-4, Sector-24, NOIDA",66,339,Noida,110, 201 301.,Vinod ,delhi@gmail.com,,,1111111111,1
ZEE Media,6,Essel Studio FC-09. Sector 16A Noida,66,339,Noida,110,,Vinod ,delhi@gmail.com,,,1111111111,1
Paytm,6,"B-121, Sector 5, Noida ",66,339,Noida,110,201301,Vinod ,delhi@gmail.com,,,1111111111,1
Honda Cars,6,"Plot No. A-1, Sector 40/41. Surajpur-Kasna Road. Greater Noida Industrial Development Area. Distt. Gautam Budh Nagar.",66,339,Noida,110,,Vinod ,delhi@gmail.com,,,1111111111,1
Honda Morocycles and Scooters,6,"COMMERCIAL COMPLEX II, SECTOR: 49, 50, Golf Course Ext Rd, Gurugram, Haryana ",65,320,Gurugram,110,122018,Vinod ,delhi@gmail.com,,,1111111111,1
Bio Rad,6,"Emmar Digital Greens, 9th floor, tower A, Gurgaon, Golf Course Ext Rd, Gurugram",65,320,Gurugram,110,,Vinod ,delhi@gmail.com,,,1111111111,1
Maruti Suzuki,6," Old Palam Gurgaon Road, Gurugram, Haryana",65,320,Gurugram,110,122015,Vinod ,delhi@gmail.com,,,1111111111,1
Plasser India,6,"13th Milestone Gurukul Indraprastha Estate Indraprastha Estate Gurukul, Mathura Rd, Sector 38, Faridabad, Haryana",65,320,Gurugram,110,121003,Vinod ,delhi@gmail.com,,,1111111111,1
Wapcos,6,"76, Institutional Area, Sector 18, Gurugram, Haryana ",65,320,Gurugram,110,122015,Vinod ,delhi@gmail.com,,,1111111111,1
Lords Logistics,6,"Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana ",63,320,Gurugram,110,122015,Himanshu,delhi@gmail.com,,,1111111111,1
Bharti Foundation,6,"Plot No. 16, Phase IV, Sector 18, Gurugram, Haryana ",65,320,Gurugram,110,122015,Vinod ,delhi@gmail.com,,,1111111111,1
Airtel,6,"Plot No. 16, Phase IV, Sector 18, Gurugram, Haryana ",65,320,Gurugram,110,122015,Vinod ,delhi@gmail.com,,,1111111111,1
Crown Worldwide,6,"I, Dundahera Village, Sector 26, Gurugram, Haryana ",65,320,Gurugram,110,122022,Vinod ,delhi@gmail.com,,,1111111111,1
APL Logistics ,6,"Plot No 19, 4th Floor, Sewa Tower, Phase IV, Sector 18, Gurugram, Haryana ",63,320,Gurugram,110,122015,Himanshu,delhi@gmail.com,,,1111111111,1
Urban Company,6,"416, Udyog Vihar III, Sector 20, Gurugram, Haryana ",63,320,Gurugram,110,122008,Himanshu,delhi@gmail.com,,,1111111111,1
Colt,6,"Tower No. 4, Candor Techspace SEZ, Sector 48, Gurugram, Haryana 122001",65,320,Gurugram,110,,Vinod ,delhi@gmail.com,,,1111111111,1
Hohenstein,6,"GK Tower, Plot No-33, Phase IV, Gurugram, Haryana 122015",63,320,Gurugram,110,,Himanshu,delhi@gmail.com,,,1111111111,1
Bharat Seats,6,"Plot No 1, Maruti Joint Venture Complex, Phase IV, Maruti Udyog, Sector 18, Gurugram, Haryana",65,320,Gurugram,110,122015,Vinod ,delhi@gmail.com,,,1111111111,1
Canara HSBC,6,"139 P, Sector - 44. Gurugram -Haryana ",65,320,Gurugram,110,122003 ,Vinod ,delhi@gmail.com,,,1111111111,1
Cushman & Wakefield,6," DLF Cyber City, 14th Floor, Gurugram, Haryana",65,320,Gurugram,110,122002,Vinod ,delhi@gmail.com,,,1111111111,1
E & Y,6,"Golf View Corporate Tower B, Golf Course Rd, Sector 42, Gurugram, Haryana",65,320,Gurugram,110,122002,Vinod ,delhi@gmail.com,,,1111111111,1
Sentiss Pharma,6,"261, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana",63,320,Gurugram,110,122001,Himanshu,delhi@gmail.com,,,1111111111,1
Emaar India,6,"Gate No 1, Emaar Business Park Mehrauli Gurgaon Road, Sector 28, Mehrauli Sikanderpur Chowk, near Sikanderpur Metro Station, Gurugram, Haryana",65,320,Gurugram,110,122002,Vinod ,delhi@gmail.com,,,1111111111,1
kimberly Clark,6,"585-D Shipra Sun City, Indirapuram, Ghaziabad, Uttar Pradesh",65,320,Gurugram,110,201014,Vinod ,delhi@gmail.com,,,1111111111,1
Lumax ,6,"Plot No. 878, Udyog Vihar Phase V, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana",65,320,Gurugram,110,122016,Vinod ,delhi@gmail.com,,,1111111111,1
Nagarro,6,"Plot 13, Sub.Major Laxmi Chand Rd, Udyog Vihar, Sector 18, Gurugram, Haryana",65,320,Gurugram,110,122015,Vinod ,delhi@gmail.com,,,1111111111,1
Renishaw,6,"Unit No. 6F-03, Ground FloorAIHP Signature, 418& 419Udyog ViharPhase-4Gurgaon",63,320,Gurugram,110,122015,Himanshu,delhi@gmail.com,,,1111111111,1
PWC,6,"Building No.8, Tower C, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana ",63,320,Gurugram,110,122002,Himanshu,delhi@gmail.com,,,1111111111,1
AVL,6,"76-377, Rao Gajraj Singh Marg, near Maruti Udyog Ltd, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015",63,320,Gurugram,110,122015,Himanshu,delhi@gmail.com,,,1111111111,1
Teleperformance,6,"96, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122008",65,320,Gurugram,110,122008,Vinod ,delhi@gmail.com,,,1111111111,1
Bata,6,"Lotus Plaza, 4th Floor, MG Road,, 723/1, Mehrauli Rd, DLF Colony, Sector 14, Gurugram, Haryana 122001",63,320,Gurugram,110,122001,Himanshu,delhi@gmail.com,,,1111111111,1
Apollo Tyres,6,"7 Apollo House, Institutional Area, opposite Medanta Hospital, Sector 32, Gurugram, Haryana 122002",63,320,Gurugram,110,122002,Himanshu,delhi@gmail.com,,,1111111111,1
ISS Facility,6,"Plot No. 150, 1st Flr, Udyog Vihar, Phase-1,, Gurgaon, Haryana",63,320,Gurugram,110,122016,Himanshu,delhi@gmail.com,,,1111111111,1
Max Life,6,"11th Floor, DLF Square Building, Jacaranda Marg, DLF City Phase II, Gurugram (Haryana) ",65,320,Gurugram,110,122002,Vinod ,delhi@gmail.com,,,1111111111,1
YKK,6,"3rd Floor, Tower A, Global Business Park, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana",65,320,Gurugram,110,122002,Vinod ,delhi@gmail.com,,,1111111111,1
Anton Paar,6,"582, Phase V, Udyog Vihar, Industrial Area, Gurugram, Haryana ",63,320,Gurugram,110,122016,Himanshu,delhi@gmail.com,,,1111111111,1
Amalgamation Valeo,6,"Plot no.35 ,HSIDC Maruti Industrial area, Sector 18, Gurugram, Haryana ",63,320,Gurugram,110,122008,Himanshu,delhi@gmail.com,,,1111111111,1
Bry Air,6,"21-C, Sector 18, Gurugram, Haryana ",65,320,Gurugram,110,122015,Vinod ,delhi@gmail.com,,,1111111111,1
Dabur,6," Dabur Ln, Kaushambi, Ghaziabad, Uttar Pradesh",65,320,Gurugram,110,201012,Vinod ,delhi@gmail.com,,,1111111111,1
